# Time =     1.96559098E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022        2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.33974295E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140019       -1.1619860707726039E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     2.35974370E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140019       -1.6267804990816455E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.37974445E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022       -6.0423275680175406E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.39974520E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.41974595E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        6.9719164246356233E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.43974670E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140019       -1.2084655136035080E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     2.45974745E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022       -2.0613632895505991E-013  -0.0000000000000000       -0.0000000000000000     
# Time =     2.47974820E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016       -5.4543626162066027E-013  -0.0000000000000000       -0.0000000000000000     
# Time =     2.49974895E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        2.6063347567429504E-012  -0.0000000000000000       -0.0000000000000000     
# Time =     2.51974970E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016        2.4387066461732947E-011  -0.0000000000000000       -0.0000000000000000     
# Time =     2.53975045E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022        6.0506241485628562E-011  -0.0000000000000000       -0.0000000000000000     
# Time =     2.55975120E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016       -1.0294150799581576E-010  -0.0000000000000000       -0.0000000000000000     
# Time =     2.57975195E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140025       -1.0344350921811093E-009  -0.0000000000000000       -0.0000000000000000     
# Time =     2.59975270E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016       -2.3664262322297415E-009  -0.0000000000000000       -0.0000000000000000     
# Time =     2.61975345E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        6.1482286545356132E-010  -0.0000000000000000       -0.0000000000000000     
# Time =     2.63975420E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016        1.5296160372338900E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     2.65975495E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140025        3.3388299181080299E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     2.67975571E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016        1.3537239746877850E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     2.69975646E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -7.8874080081437898E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     2.71975721E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140013       -1.7946311811112413E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.73975796E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140019       -1.2638363181418306E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.75975871E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140002        1.4416614142358300E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.77975946E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140010        4.1657715304068319E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.79976021E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982        3.5231458439916572E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.81976096E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993       -9.8111488745536372E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     2.83976171E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139973       -5.3924513708833601E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.85976246E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982       -5.0660865951144645E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.87976321E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139959        1.6784000686356369E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     2.89976396E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139979        5.4259021018330435E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.91976471E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139959        5.5818141253044806E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.93976546E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139979        4.0266109491206433E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     2.95976621E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139959       -5.1757125430190207E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.97976696E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139976       -5.8116976730914030E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     2.99976771E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139959       -8.9216296899631402E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     3.01976846E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982        4.8804351417023796E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.03976921E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139953        5.9873612287527180E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.05976996E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139976        1.3705204229175274E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.07977071E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139953       -4.5562887216750981E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.09977146E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139976       -6.1271653097909969E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.11977221E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948       -1.8405985273848675E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.13977296E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139973        4.2053271560645137E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.15977371E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948        6.2308217971120482E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.17977446E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982        2.2997600330021786E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.19977521E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951       -3.8296201175225687E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.21977596E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139979       -6.2977293989458143E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.23977671E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139953       -2.7453008018071277E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.25977746E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        3.4313858769658946E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.27977822E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139956        6.3274987093582704E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.29977897E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982        3.1745955656419342E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.31977972E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951       -3.0129756516234386E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.33978047E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139988       -6.3199592464010595E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.35978122E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139953       -3.5851158242248195E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.37978197E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        2.5768587990099488E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.39978272E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139956        6.2751606001537232E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.41978347E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        3.9744436983479428E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.43978422E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951       -2.1256089126006508E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.45978497E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985       -6.1933716565170098E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.47978572E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951       -4.3402867266080262E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.49978647E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        1.6618884894250472E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.51978722E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951        6.0750800905869477E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.53978797E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982        4.6804912979653330E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.55978872E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139956       -1.1884331363522403E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.57978947E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985       -5.9209879185721679E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.59979022E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139953       -4.9930550873185965E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.61979097E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982        7.0803547193590890E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     3.63979172E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139953        5.7320087462108846E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.65979247E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        5.2761389774821062E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.67979322E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139953       -2.2352878540419503E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     3.69979397E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985       -5.5092611942537071E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.71979472E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951       -5.5280782584074556E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.73979547E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985       -2.6223003407766197E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     3.75979622E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951        5.2540633186065342E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.77979697E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        5.7473916232797132E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.79979772E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948        7.4637672338081764E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     3.81979847E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985       -4.9679238954350152E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.83979922E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -5.9327906828593501E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.85979998E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139988       -1.2260573157350005E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.87980073E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945        4.6525342384586440E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.89980148E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        6.0831868769754093E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.91980223E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        1.6984443295184504E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.93980298E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982       -4.3097575261086990E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.95980373E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942       -6.1976986079579795E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.97980448E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985       -2.1607547987957788E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     3.99980523E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948        3.9416175616369785E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.01980598E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        6.2756561186557292E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.03980673E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945        2.6102675718046025E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.05980748E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982       -3.5502839891670250E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.07980823E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948       -6.3166020757529100E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.09980898E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139988       -3.0443329066365201E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.11980973E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948        3.1380675946224517E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.13981048E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        6.3202971484644823E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.15981123E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948        3.4603860409104420E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.17981198E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139988       -2.7074103347244728E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.19981273E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948       -6.2867299725666739E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.21981348E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985       -3.8559773952765305E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.23981423E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139948        2.2608547012291439E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.25981498E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985        6.2161052772233093E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.27981573E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945        4.2287808862645502E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.29981648E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139982       -1.8010318082461678E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.31981723E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951       -6.1088429705027675E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.33981798E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139985       -4.5766023867044484E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.35981873E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139951        1.3306532072090093E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.37981948E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139988        5.9655797127071304E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.39982023E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        4.8973945015412305E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.41982098E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139988       -8.5249341060439272E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     4.43982173E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139945       -5.7871648354770912E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.45982249E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993       -5.1892697191933115E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.47982324E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        3.6937266669078783E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     4.49982399E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139990        5.5746551512001854E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.51982474E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139942        5.4505111947832491E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.53982549E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993        1.1586029831871317E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     4.55982624E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139939       -5.3293080159539454E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.57982699E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139993       -5.6795830267425585E-007  -0.0000000000000000       -0.0000000000000000     
# Time =     4.59982774E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303139939       -6.0034406118922272E-008  -0.0000000000000000       -0.0000000000000000     
# Time =     4.61982849E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
